08:12:03:  风险提示：招标用DRB钞箱提供存在延期风险
13:35:41:  发送指令到K06
13:35:56:  TCR调测工具 V3.36
13:41:16:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:43:11:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091128.log
13:43:16:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091342.log
13:43:21:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:43:41:  Toolbox
13:43:46:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:46:06:  TCR调测工具 V3.36
13:47:26:  钞箱配置
13:47:31:  TCR调测工具 V3.36
13:47:56:  20201009
13:48:01:  LOG
13:48:06:  K64_BTCR-1100190803000_20201009134737
13:48:11:  Box_3__BTCR-1100190803000_20201009134737.log - DRB.tat* - TextAnalysisTool.NET
13:49:36:  TCR调测工具 V3.36
13:49:41:  发送指令到K06
13:50:01:  TCR调测工具 V3.36
13:50:16:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:50:41:  Tools
13:50:57:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
13:51:02:  Tools
13:51:17:  D:\00-06\DRB--\Tools\CreateJK.exe
13:51:22:  TCR调测工具 V3.36
13:51:27:  打开
13:51:32:  TCR调测工具 V3.36
13:51:52:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:55:32:  TCR调测工具 V3.36
13:55:37:  打开
13:55:42:  TCR调测工具 V3.36
13:59:47:  取款
13:59:57:  TCR调测工具 V3.36
13:59:47:  取款
13:59:57:  TCR调测工具 V3.36
14:02:32:  托板控制
14:02:57:  通道电机测试
14:03:07:  发送指令到K06
14:03:12:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:03:22:  TCR调测工具 V3.36
14:03:27:  TCR调测工具（研发版）V1.0.0.4
14:03:32:  通道电机测试
14:08:22:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:10:22:  通道电机测试
14:10:27:  TCR调测工具（研发版）V1.0.0.4
14:10:42:  TCR调测工具 V3.36
14:11:17:  BTCRTestTool
14:11:22:  TCR调测工具 V3.36
14:15:02:  取款
14:15:02:  取款
14:15:07:  TCR调测工具 V3.36
14:15:57:  钞箱配置
14:16:07:  TCR调测工具 V3.36
14:16:37:  取款
14:16:42:  TCR调测工具 V3.36
14:18:12:  取款
14:18:17:  TCR调测工具 V3.36
14:18:42:  BTCRTestTool (2) 属性
14:18:47:  20201009
14:18:52:  TCRControlCmdDLL
14:19:02:  20201009
14:19:12:  Decode
14:19:17:  Box_2__BTCR-1100190803000_20201009141814.log - DRB.tat* - TextAnalysisTool.NET
14:21:17:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
14:22:32:  Tools
14:22:37:  本地磁盘 (D:)
14:23:02:  00-06
14:23:07:  D:\00-06\DRB--\Tools\CreateJK.exe
14:23:17:  Tools
14:23:32:  TCR调测工具 V3.36
14:23:37:  D:\00-06\DRB--\Tools\CreateJK.exe
14:23:42:  打开
14:23:47:  TCR调测工具 V3.36
14:26:57:  钞箱配置
14:27:07:  TCR调测工具 V3.36
14:27:12:  取款
14:27:27:  TCR调测工具 V3.36
14:29:52:  取款
14:29:57:  TCR调测工具 V3.36
14:29:52:  取款
14:29:57:  TCR调测工具 V3.36
14:35:22:  荆文波
14:35:47:  删除多个项目
14:35:52:  Decode
14:35:57:  LOG
