13:37:58:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:38:08:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
13:38:18:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:38:43:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
13:39:13:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:39:23:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
13:39:53:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:39:58:  D:\00-KE64\trunk\Tools\JMConvertOld\Convert.exe
13:40:03:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:40:08:  Tools
13:40:13:  TCR调测工具 V3.36
13:41:28:  可接收
13:41:33:  取款
13:41:38:  TCR调测工具 V3.36
13:42:33:  取款
13:42:38:  TCR调测工具 V3.36
13:43:18:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:44:18:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:44:28:  锁屏状态
13:44:33:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:44:38:  TCR调测工具 V3.36
13:44:18:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:44:28:  锁屏状态
13:44:33:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:44:38:  TCR调测工具 V3.36
13:45:33:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.h (trunk) - Sublime Text (UNREGISTERED)
13:45:38:  TCR调测工具 V3.36
13:45:48:  取款
13:45:58:  TCR调测工具 V3.36
13:46:48:  取款
13:46:53:  TCR调测工具 V3.36
13:47:53:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
13:48:03:  本地磁盘 (D:)
13:48:08:  00-06
13:48:13:  DRB-PRESS
13:48:18:  新建文本文档.exe - 快捷方式
13:48:28:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
13:48:33:  Initial.c - TortoiseMerge
13:48:38:  PaperManage.c - TortoiseMerge
13:48:48:  UpperPlateCtrl.c - TortoiseMerge
13:48:53:  Separate.c - TortoiseMerge
13:49:03:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
13:49:08:  Update.c - TortoiseMerge
13:49:13:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
13:49:18:  PressurePlate.c - TortoiseMerge
13:49:23:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
13:49:28:  UpperPlate.c - TortoiseMerge
13:49:33:  DRB-PRESS
13:49:38:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:49:48:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
13:49:58:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:50:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:50:18:  Tools
13:50:23:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:53:25:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:53:30:  00-KE64
13:53:35:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:53:40:  Tools
13:54:10:  DRB钞箱工程样机系统测试问题列表.xlsx
13:55:50:  BTCR-1100_MASTER_K64_FV1020_FEDUV22_MAIN_T93 - 写邮件
13:55:55:  回复: DRB工程样机系统测试进展汇报 - 写邮件
13:56:05:  未命名 - 写邮件
13:57:05:  未命名 - 写邮件   13:57:03 已保存
13:57:10:  Tools
13:57:15:  BTCR-1100_MASTER_K64_FV1020_FEDUV22_MAIN_T93 - 写邮件   13:57:03 已保存
13:57:20:  00-06
13:57:30:  BTCR-1100_MASTER_K64_FV1020_FEDUV22_MAIN_T93 - 写邮件   13:57:03 已保存
