13:23:44:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-22180-20201028085725\Attach\TcrLogDecode.cpp (DRB--) - Sublime Text (UNREGISTERED)
13:26:49:  跳转列表
13:26:54:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:28:04:  6.2.2.5 钞箱测试1T1.xls  [兼容模式] - Excel
13:28:49:  （上海+邮储）DRB钞箱发货测试
13:28:54:  6.2.2.5 钞箱测试1T1.xls  [兼容模式] - Excel
13:28:59:  DRB测试缺陷列表.xlsx  [受保护的视图] - Excel
13:29:09:  DRB测试缺陷列表.xlsx - Excel
13:28:49:  （上海+邮储）DRB钞箱发货测试
13:28:54:  6.2.2.5 钞箱测试1T1.xls  [兼容模式] - Excel
13:28:59:  DRB测试缺陷列表.xlsx  [受保护的视图] - Excel
13:29:09:  DRB测试缺陷列表.xlsx - Excel
13:30:34:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:30:39:  DRB测试缺陷列表.xlsx - Excel
13:31:59:  ID-27 7#下腔5元普通取款第48张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X094601B5
13:32:04:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
13:32:09:  K18_BTCR-1100200600510420_20201022135731.log - [No filter file] - TextAnalysisTool.NET
13:32:24:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:32:44:  Decode
13:32:59:  K64_BTCR-1100200600510420_20201022135948
13:33:04:  Box_4__BTCR-1100200600510420_20201022135948.log - DRB.tat* - TextAnalysisTool.NET
13:35:39:  密码锁
13:35:44:  0-工作 - 张开发 - 印象笔记
13:35:49:  所有笔记本 - 张开发 - 印象笔记
13:35:59:  3-日常 - 张开发 - 印象笔记
13:36:15:  所有笔记本 - 张开发 - 印象笔记
13:36:25:  随笔 - 张开发 - 印象笔记
13:36:30:  0-工作 - 张开发 - 印象笔记
13:36:35:  Box_4__BTCR-1100200600510420_20201022135948.log - DRB.tat* - TextAnalysisTool.NET
13:38:15:  K64_BTCR-1100200600510420_20201022135948
13:38:25:  K64-_BTCR-1100200600510420_20201022135948.log - DRB.tat* - TextAnalysisTool.NET
13:38:55:  Box_3__BTCR-1100200600510420_20201022135948.log - DRB.tat* - TextAnalysisTool.NET
