08:01:59:  「开始」菜单
10:09:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:09:25:  计算器
10:09:30:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:09:55:  锁屏状态
10:10:00:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
10:10:05:  TCR调测工具 V3.36
10:10:10:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:10:45:  TCR调测工具 V3.36
10:14:05:  BTCRTestTool
10:14:10:  打开
10:14:15:  TCR调测工具 V3.36
10:14:05:  BTCRTestTool
10:14:10:  打开
10:14:15:  TCR调测工具 V3.36
10:16:40:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:20:50:  K64_0000_20200608100641
10:20:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:25:25:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:26:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:26:10:  Edit Filter
10:26:15:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:26:55:  YoudaoDictStrokeIcon
10:27:00:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:27:05:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:28:00:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:28:30:  TCR调测工具 V3.36
10:29:00:  BTCRTestTool
10:29:05:  TCR调测工具 V3.36
10:29:25:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:29:45:  TCR调测工具 V3.36
10:29:55:  锁屏状态
10:30:00:  TCR调测工具 V3.36
10:28:30:  TCR调测工具 V3.36
10:29:00:  BTCRTestTool
10:29:05:  TCR调测工具 V3.36
10:29:25:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:29:45:  TCR调测工具 V3.36
10:29:55:  锁屏状态
10:30:00:  TCR调测工具 V3.36
10:30:05:  BTCRTestTool V3.36
10:30:10:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:30:20:  BTCRTestTool V3.36
10:30:25:  20200608
10:30:30:  Decode
10:30:35:  K64_0000_20200608102958
10:30:40:  Box_1__0000_20200608102958.log - DRB.tat* - TextAnalysisTool.NET
10:31:55:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:32:00:  TCR调测工具 V3.36
10:32:15:  通道电机测试
10:38:00:  BTCRTestTool
10:38:05:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:38:10:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:39:00:  Box_1__0000_20200608102958.log - DRB.tat* - TextAnalysisTool.NET
10:41:30:  TCR调测工具 V3.36
10:43:20:  20200608
10:43:25:  锁屏状态
10:43:30:  Box_2__0000_20200608104300.log - DRB.tat* - TextAnalysisTool.NET
10:43:45:  TCR调测工具 V3.36
10:43:50:  DRB传感器.txt - 记事本
10:44:15:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:20:  D:\00-06\DRB-PRESS\Drivers\SensorDriver\SensorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:30:  D:\00-06\DRB-PRESS\Drivers\SensorDriver\SensorDriver.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:35:  Box_2__0000_20200608104300.log - DRB.tat* - TextAnalysisTool.NET
10:44:40:  DRB传感器.txt - 记事本
10:44:50:  TCR调测工具 V3.36
10:44:15:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:20:  D:\00-06\DRB-PRESS\Drivers\SensorDriver\SensorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:30:  D:\00-06\DRB-PRESS\Drivers\SensorDriver\SensorDriver.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:44:35:  Box_2__0000_20200608104300.log - DRB.tat* - TextAnalysisTool.NET
10:44:40:  DRB传感器.txt - 记事本
10:44:50:  TCR调测工具 V3.36
10:45:15:  DRB传感器.txt - 记事本
10:45:20:  Box_2__0000_20200608104300.log - DRB.tat* - TextAnalysisTool.NET
10:45:25:  TCR调测工具 V3.36
10:45:45:  20200608
10:45:50:  Decode
10:45:55:  Box_2__0000_20200608104534.log - DRB.tat* - TextAnalysisTool.NET
10:46:20:  D:\00-06\DRB-PRESS\Drivers\SensorDriver\SensorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:46:25:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:46:35:  Box_2__0000_20200608104534.log - DRB.tat* - TextAnalysisTool.NET
10:46:40:  TCR调测工具 V3.36
10:46:55:  Box_2__0000_20200608104534.log - DRB.tat* - TextAnalysisTool.NET
10:47:05:  TCR调测工具 V3.36
10:56:05:  BTCRTestTool
10:56:25:  TCR调测工具 V3.36
10:56:35:  钞箱配置
10:56:45:  TCR调测工具 V3.36
10:57:55:  20200608
10:58:40:  TCR调测工具 V3.36
10:58:45:  取款
10:58:50:  TCR调测工具 V3.36
10:59:15:  BTCRTestTool
10:58:40:  TCR调测工具 V3.36
10:58:45:  取款
10:58:50:  TCR调测工具 V3.36
10:59:15:  BTCRTestTool
11:00:25:  TCR调测工具 V3.36
11:00:30:  读写ERROM
11:00:35:  TCR调测工具 V3.36
11:05:40:  BTCRTestTool
11:05:45:  TCR调测工具 V3.36
11:05:55:  BTCRTestTool
11:06:00:  TCR调测工具 V3.36
11:06:45:  D:\00-KE64\Press\Applications\UsbApp\UsbApp.h (Press) - Sublime Text (UNREGISTERED)
11:06:50:  D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)
11:07:25:  TCR调测工具 V3.36
11:09:05:  20200608
11:09:10:  新建文件夹
11:09:15:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
