11:34:36:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:34:46:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.c (gfgd) - Sublime Text (UNREGISTERED)
11:34:51:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:34:56:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.h (gfgd) - Sublime Text (UNREGISTERED)
11:35:01:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:35:06:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
11:35:16:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:35:26:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.h (gfgd) - Sublime Text (UNREGISTERED)
11:35:36:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:35:56:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.c (gfgd) - Sublime Text (UNREGISTERED)
11:36:01:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (gfgd) - Sublime Text (UNREGISTERED)
11:36:51:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:37:01:  K64-_0000_20210113112826.log - DRB.tat* - TextAnalysisTool.NET
11:37:06:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
11:37:16:  本地磁盘 (E:)
11:37:26:  深圳出差
11:37:31:  Tools
11:37:36:  E:\深圳出差\gfgd\Tools\CreateJK.exe
11:37:41:  CRS调测工具（研发版）V1.0.2.1
11:37:46:  打开
11:37:56:  CRS调测工具（研发版）V1.0.2.1
11:38:01:  打开
11:38:06:  CRS调测工具（研发版）V1.0.2.1
11:40:21:  锁屏状态
13:14:26:  CRS调测工具（研发版）V1.0.2.1
13:14:31:  新标签页 - Google Chrome
13:14:41:  百度一下，你就知道 - Google Chrome
13:14:46:  支付宝 知托付！ - Google Chrome
13:15:01:  登录 - 支付宝 - Google Chrome
13:14:26:  CRS调测工具（研发版）V1.0.2.1
13:14:31:  新标签页 - Google Chrome
13:14:41:  百度一下，你就知道 - Google Chrome
13:14:46:  支付宝 知托付！ - Google Chrome
13:15:01:  登录 - 支付宝 - Google Chrome
13:15:06:  我的账单 - 支付宝 - Google Chrome
13:15:31:  支付宝_百度搜索 - Google Chrome
13:15:36:  https://www.baidu.com/link?url=f3NbgXPltWOYVB3SBPSkljLLifBPQvyPZgRSUh_VY_a&wd=&eqid=d1d65f0f00014725000000025ffe81f7 - Google Chrome
