15:28:10:  K64-_BTCR-1100200700510494_20201228140854.log - DRB.tat* - TextAnalysisTool.NET
15:28:15:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:28:20:  荆文波
15:28:25:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:28:30:  荆文波
15:28:55:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:29:15:  LogExpert #2 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228141034\K64-_BTCR-1100200700510494_20201228141034.log
15:29:45:  荆文波
15:30:10:  LOG
15:30:20:  LogExpert - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:30:40:  K64-_BTCR-1100200700510494_20201228140854.log - DRB.tat* - TextAnalysisTool.NET
15:30:55:  LOG
15:31:00:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140756\K64-_BTCR-1100200700510494_20201228140756.log
15:31:55:  K64_BTCR-1100200700510494_20201228140756
15:32:00:  Box_3__BTCR-1100200700510494_20201228140756.log - DRB.tat* - TextAnalysisTool.NET
15:32:15:  荆文波
15:33:06:  Box_3__BTCR-1100200700510494_20201228140756.log - DRB.tat* - TextAnalysisTool.NET
15:33:11:  荆文波
15:35:01:  Box_3__BTCR-1100200700510494_20201228140756.log - DRB.tat* - TextAnalysisTool.NET
15:35:06:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:39:41:  荆文波
15:39:51:  另存为
15:39:56:  荆文波
15:41:36:  CRS调测工具（研发版）V1.0.2.1
15:42:46:  查找
15:42:51:  Dialog
15:43:01:  读写ERROM
15:43:06:  CRS调测工具（研发版）V1.0.2.1
15:43:41:  读写ERROM
15:43:46:  CRS调测工具（研发版）V1.0.2.1
15:46:36:  读写ERROM
15:46:41:  CRS调测工具（研发版）V1.0.2.1
15:47:21:  查找
15:47:26:  CRS调测工具（研发版）V1.0.2.1
15:47:31:  Dialog
15:47:41:  CRS调测工具（研发版）V1.0.2.1
15:47:46:  Dialog
15:47:56:  CRS调测工具（研发版）V1.0.2.1
15:48:41:  读写ERROM
15:48:46:  CRS调测工具（研发版）V1.0.2.1
15:50:36:  读写ERROM
15:50:41:  CRS调测工具（研发版）V1.0.2.1
15:54:01:  读写ERROM
15:54:06:  CRS调测工具（研发版）V1.0.2.1
15:57:16:  Dialog
15:57:26:  读写ERROM
15:57:31:  CRS调测工具（研发版）V1.0.2.1
15:57:56:  读写ERROM
15:58:06:  CRS调测工具（研发版）V1.0.2.1
15:58:16:  Dialog
15:58:21:  CRS调测工具（研发版）V1.0.2.1
15:58:56:  Dialog
15:59:06:  CRS调测工具（研发版）V1.0.2.1
15:59:31:  CRS电气资料.xlsx
15:58:06:  CRS调测工具（研发版）V1.0.2.1
15:58:16:  Dialog
15:58:21:  CRS调测工具（研发版）V1.0.2.1
15:58:56:  Dialog
15:59:06:  CRS调测工具（研发版）V1.0.2.1
15:59:31:  CRS电气资料.xlsx
16:00:36:  读写ERROM
16:00:41:  CRS调测工具（研发版）V1.0.2.1
16:05:26:  钞箱钞票数
16:05:31:  钞箱使能
16:05:36:  设置假币拒钞
16:05:41:  CRS调测工具（研发版）V1.0.2.1
16:11:36:  发送指令到K18
16:11:41:  CRS调测工具（研发版）V1.0.2.1
16:17:51:  CRS电气资料.xlsx
16:17:56:  CRS调测工具（研发版）V1.0.2.1
16:18:01:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
16:18:11:  中国银行DRB发货测试缺陷列表.xlsx - Excel
16:18:51:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140756\K64-_BTCR-1100200700510494_20201228140756.log
16:27:56:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
16:28:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
16:28:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
16:30:16:  荆文波
16:30:46:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
16:39:12:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140756\K64-_BTCR-1100200700510494_20201228140756.log
16:43:22:  荆文波
16:51:07:  TD回复格式.docx [兼容模式] - Word
16:51:22:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140756\K64-_BTCR-1100200700510494_20201228140756.log
16:51:42:  TD回复格式.docx [兼容模式] - Word
16:52:12:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140756\K64-_BTCR-1100200700510494_20201228140756.log
16:52:22:  TD回复格式.docx [兼容模式] - Word
16:55:12:  转发: 回复: 9259-0002531前维护，北辰德配置的程序
16:55:32:  颜晓军
16:55:52:  转发: 回复: 9259-0002531前维护，北辰德配置的程序
16:58:22:  颜晓军
16:58:22:  颜晓军
17:02:02:  eSpace
17:02:07:  颜晓军
17:02:12:  TD回复格式.docx [兼容模式] - Word
