08:00:08:  D:\00-KE64\select - 工作副本 - TortoiseSVN
13:37:18:  Box_4__0000_20210309133505.log - DRB.tat* - TextAnalysisTool.NET
13:37:23:  K64_0000_20210309133505
13:37:28:  TheDateInfo.xls  [兼容模式] - Excel
13:38:43:  TCR调测工具 V3.36
13:40:43:  「开始」菜单
13:40:48:  TCR调测工具 V3.36
13:43:28:  K64_0000_20210309133505
13:43:33:  文件夹正在使用
13:43:38:  20210309
13:43:43:  K64_0000_20210309134253
13:43:53:  K64-_0000_20210309134253.log - DRB.tat* - TextAnalysisTool.NET
13:43:58:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
13:44:28:  TCR调测工具 V3.36
13:44:28:  TCR调测工具 V3.36
13:45:13:  取款
13:45:18:  TCR调测工具 V3.36
13:45:53:  eSpace
13:46:03:  王亮杰
13:46:08:  TCR调测工具 V3.36
13:46:13:  20210309
13:46:18:  王亮杰
13:46:23:  20210309
13:46:28:  TCR调测工具 V3.36
13:46:33:  20210309
13:46:38:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:46:43:  K64_0000_20210309134513
13:46:53:  TheDateInfo.xls  [兼容模式] - Excel
13:47:43:  K64-_0000_20210309134253.log - DRB.tat* - TextAnalysisTool.NET
13:47:48:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
13:48:13:  K64-_0000_20210309134253.log - DRB.tat* - TextAnalysisTool.NET
13:48:18:  Box_4__0000_20210309134513.log - DRB.tat* - TextAnalysisTool.NET
13:48:28:  D:\00-06\DRB\Applications\PaperManage\PaperManage.c (DRB) - Sublime Text (UNREGISTERED)
13:49:13:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
13:49:53:  TCR调测工具 V3.36
13:51:08:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
13:51:23:  0-工作 - 张开发 - 印象笔记
13:53:33:  D:\00-06\DRB\Applications\PaperManage\PaperManage.c (DRB) - Sublime Text (UNREGISTERED)
13:54:08:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
13:58:08:  托板控制
13:58:58:  TCR调测工具 V3.36
13:59:08:  TheDateInfo.xls  [兼容模式] - Excel
13:59:53:  eSpace
13:58:08:  托板控制
13:58:58:  TCR调测工具 V3.36
13:59:08:  TheDateInfo.xls  [兼容模式] - Excel
13:59:53:  eSpace
14:00:48:  锁屏状态
14:00:53:  5.18 传感器测试v1.1.xlsx - Excel
