10:53:52:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:53:57:  程明昌
10:54:02:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:54:17:  本地磁盘 (D:)
10:54:22:  44
10:54:27:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
10:54:32:  TrackSensor.c Revision 737 - TortoiseMerge
10:55:12:  E:\深圳出差\gfgd\Applications\FlowControl\CashSlot\CashSlot.c (gfgd) - Sublime Text (UNREGISTERED)
10:55:17:  E:\深圳出差\gfgd\Applications\FlowControl\FlowCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
10:55:22:  TrackSensor.c Revision 737 - TortoiseMerge
10:55:32:  新北洋OA信息化平台 - Internet Explorer
10:55:37:  戚晓东
10:55:42:  CRS调测工具（研发版）V1.0.2.1
10:55:47:  戚晓东
10:55:52:  新北洋OA信息化平台 - Internet Explorer
10:56:02:  戚晓东
10:56:12:  新北洋OA信息化平台 - Internet Explorer
10:56:17:  戚晓东
10:59:22:  D:\CRS\666\Middlewares\StepMotor\StepMotor.c (666) - Sublime Text (UNREGISTERED)
10:59:27:  E:\深圳出差\gfgd\Applications\FlowControl\FlowCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
10:59:32:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
10:59:22:  D:\CRS\666\Middlewares\StepMotor\StepMotor.c (666) - Sublime Text (UNREGISTERED)
10:59:27:  E:\深圳出差\gfgd\Applications\FlowControl\FlowCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
10:59:32:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:00:32:  E:\深圳出差\gfgd\Applications\CanComm\SlaveBoardComm\CSBoardCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:00:57:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:01:37:  E:\深圳出差\gfgd\Applications\Update\Update.c (gfgd) - Sublime Text (UNREGISTERED)
11:01:42:  戚晓东
11:02:02:  E:\深圳出差\gfgd\Applications\Update\Update.c (gfgd) - Sublime Text (UNREGISTERED)
11:02:07:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:03:42:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
11:04:07:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:04:12:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
11:05:07:  于斌1
11:06:47:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
11:08:12:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:08:22:  This is an unregistered copy
11:08:27:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:09:52:  戚晓东
11:10:07:  下载
11:10:12:  本地磁盘 (D:)
11:13:22:  TCR
11:13:32:  4#样机缺陷
11:13:37:  TcrFirmwareLogDecode.exe
11:13:42:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
11:13:47:  fenxi
11:13:52:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
11:14:02:  戚晓东
11:15:37:  新建Microsoft Excel 工作表.xlsx - Excel
11:15:42:  TCR+DRB+CRS 项目周报.xlsx  [受保护的视图] - Excel
11:15:47:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
11:17:07:  戚晓东
11:17:52:  于斌1
11:17:57:  戚晓东
11:18:07:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:18:27:  戚晓东
11:18:47:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:19:37:  戚晓东
11:19:42:  深圳出差
