11:10:49:  D:\00-06\meger\Applications\HistoryRecord\HistoryRecord.c (meger) - Sublime Text (UNREGISTERED)
11:11:04:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:17:29:  锁屏状态
11:17:39:  新北洋OA信息化平台 - Internet Explorer
11:18:24:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:20:49:  锁屏状态
11:20:54:  计算器
11:39:44:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:40:04:  锁屏状态
13:12:06:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:21:06:  0-工作 - 张开发 - 印象笔记
13:21:11:  PaperManage.c - trunk - Visual Studio Code [管理员]
13:21:21:  本地磁盘 (D:)
13:21:26:  本地磁盘 (E:)
13:21:31:  新建文件夹 (2)
13:21:36:  IMG_2554.PNG - Windows 照片查看器
13:22:06:  本地磁盘 (D:)
13:22:11:  计算器
13:22:21:  LogExpert #2 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011107.log
13:22:51:  D:\00-06\DRB-1.3\Project\CashBox_1T2.uvprojx - μVision
13:28:46:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:28:46:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:31:51:  技术总结--关于SysTick实现us延时的技术总结，郑健，20210129.docx
13:33:41:  SysTickDelayModule.chm
13:33:46:  SysTickDelayModule
13:34:01:  SysTickDelayModule.chm
13:34:06:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:34:31:  eSpace
13:34:51:  设置 - trunk - Visual Studio Code [管理员]
13:34:56:  图片
13:35:01:  示例图片
13:35:06:  截2图.PNG - Windows 照片查看器
13:35:16:  截图2.PNG - Windows 照片查看器
13:35:21:  示例图片
13:35:26:  截图2.PNG - Windows 照片查看器
13:35:31:  切换网卡.py - C:\Users\Public\Pictures\Sample Pictures\切换网卡.py (3.7.3)
13:35:36:  新建文本文档.bat - 记事本
13:35:41:  示例图片
13:35:46:  Subversion
13:36:26:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:39:31:  TD回复格式.docx [兼容模式] - Word
13:40:31:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
13:43:11:  D:\00-06\meger\Applications\State\State.c (meger) - Sublime Text (UNREGISTERED)
13:43:16:  D:\00-06\DRB-1.3\Project\CashBox_1T2.uvprojx - μVision
13:43:31:  LogExpert #3 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011343.log
13:43:46:  D:\00-06\DRB-1.3\Project\CashBox_1T2.uvprojx - μVision
13:43:51:  D:\00-06\meger\Applications\State\State.c (meger) - Sublime Text (UNREGISTERED)
13:43:56:  D:\00-06\meger\Middlewares\EepromArea\EepromArea.c (meger) - Sublime Text (UNREGISTERED)
13:44:01:  D:\00-06\meger\Drivers\EepromAreaDriver\EepromAreaDriver.c (meger) - Sublime Text (UNREGISTERED)
13:44:06:  D:\00-06\meger\Drivers\EepromDriver\EepromDriver.c (meger) - Sublime Text (UNREGISTERED)
13:44:36:  关于春节返乡行程计划信息填报通知
13:44:46:  D:\00-06\meger\Drivers\EepromDriver\EepromDriver.c (meger) - Sublime Text (UNREGISTERED)
13:44:51:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:44:06:  D:\00-06\meger\Drivers\EepromDriver\EepromDriver.c (meger) - Sublime Text (UNREGISTERED)
13:44:36:  关于春节返乡行程计划信息填报通知
13:44:46:  D:\00-06\meger\Drivers\EepromDriver\EepromDriver.c (meger) - Sublime Text (UNREGISTERED)
13:44:51:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:49:56:  Subversion
13:50:01:  打开方式
13:50:06:  余幼时即嗜学 - 记事本
13:50:16:  文档
13:50:21:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:52:06:  余幼时即嗜学 - 记事本
13:52:31:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:53:11:  余幼时即嗜学 - 记事本
13:53:21:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:54:11:  余幼时即嗜学 - 记事本
13:54:16:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:57:21:  余幼时即嗜学 - 记事本
13:58:36:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:59:26:  于斌1
13:58:36:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
13:59:26:  于斌1
14:00:51:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
14:00:56:  于斌1
14:02:11:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
14:04:36:  余幼时即嗜学 - 记事本
14:04:41:  于斌1
14:06:16:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
14:06:26:  untitled (10) - Sublime Text (UNREGISTERED)
14:06:41:  D:\00-KE64\10\Applications\FlowControl\PageManage\PageManage.c (10) - Sublime Text (UNREGISTERED)
14:08:46:  余幼时即嗜学 - 记事本
