11:13:09:  (3条消息) 树莓派基于python的pwm产生_SXH博客-CSDN博客 - Google Chrome
11:13:14:  树莓派4b python 输出PWM_百度搜索 - Google Chrome
11:13:29:  (3条消息) 树莓派4B能当作web服务器吗? - 树莓派4B网络性能测试_GIS骆驼的GIS博客-CSDN博客 - Google Chrome
11:14:39:  本地磁盘 (E:)
11:14:39:  本地磁盘 (E:)
11:15:34:  (3条消息) 树莓派4B能当作web服务器吗? - 树莓派4B网络性能测试_GIS骆驼的GIS博客-CSDN博客 - Google Chrome
11:15:39:  树莓派4b web开发_百度搜索 - Google Chrome
11:15:44:  树莓派4b如何搭建网站web（apache+mysql+php) - 简书 - Google Chrome
11:16:29:  树莓派4b web开发_百度搜索 - Google Chrome
11:16:39:  https://www.baidu.com/link?url=Li97ILPpqT2L7wjYao2rARXGLwu6MeHAKDBVm7VEaybDNVnDpfT10YUGtl3D1Y9MMeVbwL1j1J_HlK-dohuneq&wd=&eqid=cb23ad5b0004b563000000025fc857d3 - Google Chrome
11:16:44:  树莓派４ｂ开发之开发环境搭建 - 飞起的小田 - 博客园 - Google Chrome
11:17:49:  树莓派4b web开发_百度搜索 - Google Chrome
11:17:54:  本地磁盘 (E:)
11:17:59:  BNE-R1200M_固件集成测试方案_V100.xls  [兼容模式] - Excel
11:19:44:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:23:09:  计算器
11:23:14:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:25:24:  Toolbox
11:25:29:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:25:54:  LogExpert - C:\Users\zhangkaifa\Desktop\CRSTesttool_20201125\CRSTesttool_20201125(2)\CRSTesttool_20201125\log\TCRControlCmdDLL\20201202\Decode\CS_0000_20201202110121.log
11:26:04:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031125.log
11:26:19:  [TRACE]:50  909 • (DRB--) - Sublime Text (UNREGISTERED)
11:26:24:  909 • (DRB--) - Sublime Text (UNREGISTERED)
11:26:29:  , 909 , 907 , 903 , 897 , 888 , 877 , 863 , 848 , • (DRB--) - Sublime Text (UNREGISTERED)
11:26:54:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:28:24:  发送指令到K18
11:28:29:  CRS调测工具（研发版）V1.0.2.1
11:28:49:  发送指令到K18
11:28:54:  CRS调测工具（研发版）V1.0.2.1
11:29:29:  锁屏状态
11:29:39:  20201202
11:29:44:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:29:59:  发货DRB钞箱测试缺陷.xlsx
11:30:04:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:28:24:  发送指令到K18
11:28:29:  CRS调测工具（研发版）V1.0.2.1
11:28:49:  发送指令到K18
11:28:54:  CRS调测工具（研发版）V1.0.2.1
11:29:29:  锁屏状态
11:29:39:  20201202
11:29:44:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:29:59:  发货DRB钞箱测试缺陷.xlsx
11:30:04:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:31:49:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:31:59:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
11:32:04:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:32:09:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:32:14:  CRS调测工具（研发版）V1.0.2.1
11:32:19:  发送指令到K18
11:32:29:  CRS调测工具（研发版）V1.0.2.1
11:32:34:  发送指令到K18
11:32:39:  CRS调测工具（研发版）V1.0.2.1
11:32:44:  发送指令到K18
11:32:59:  CRS调测工具（研发版）V1.0.2.1
11:33:09:  发送指令到K18
11:33:14:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:33:19:  发送指令到K18
11:33:34:  Decode
11:33:39:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
11:39:04:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
11:40:24:  锁屏状态
13:13:01:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
13:16:51:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
13:17:01:  锁屏状态
13:17:06:  自动播放
13:17:11:  新建文本文档.exe - 快捷方式
13:17:16:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
