10:11:40:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:11:45:  新建 Microsoft Excel 工作表.xlsx - Excel
10:11:50:  锁屏状态
10:11:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:12:05:  锁屏状态
10:12:10:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:12:35:  Watch 1
10:12:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:12:57:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:13:02:  新建 Microsoft Excel 工作表.xlsx - Excel
10:13:22:  Watch 1
10:13:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:14:17:  μVision
10:14:22:  接收
10:14:27:  Tools
10:14:42:  RTT_SeggerLog_202007271013.log - DRB.tat* - TextAnalysisTool.NET
10:14:47:  文本分列向导 - 第 1 步，共 3 步
10:14:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:14:57:  新建 Microsoft Excel 工作表.xlsx - Excel
10:14:17:  μVision
10:14:22:  接收
10:14:27:  Tools
10:14:42:  RTT_SeggerLog_202007271013.log - DRB.tat* - TextAnalysisTool.NET
10:14:47:  文本分列向导 - 第 1 步，共 3 步
10:14:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:14:57:  新建 Microsoft Excel 工作表.xlsx - Excel
10:15:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:15:47:  Watch 1
10:15:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:16:02:  RTT_SeggerLog_202007271013.log - DRB.tat* - TextAnalysisTool.NET
10:16:12:  RTT_SeggerLog_202007271015.log - DRB.tat* - TextAnalysisTool.NET
10:16:17:  文本分列向导 - 第 1 步，共 3 步
10:16:22:  新建 Microsoft Excel 工作表.xlsx - Excel
10:16:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:16:37:  新建 Microsoft Excel 工作表.xlsx - Excel
10:16:52:  RTT_SeggerLog_202007271015.log - DRB.tat* - TextAnalysisTool.NET
10:16:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:17:32:  Toolbox
10:17:37:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:17:42:  KE06LOG.bat - 快捷方式 (2)
10:17:57:  RTT_SeggerLog_202007271017.log - DRB.tat* - TextAnalysisTool.NET
10:18:02:  新建 Microsoft Excel 工作表.xlsx - Excel
10:18:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:18:27:  锁屏状态
10:18:32:  新建 Microsoft Excel 工作表.xlsx - Excel
10:19:27:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:19:37:  RTT_SeggerLog_202007271019.log - DRB.tat* - TextAnalysisTool.NET
10:19:42:  新建 Microsoft Excel 工作表.xlsx - Excel
10:19:47:  Microsoft Excel
10:19:52:  新建 Microsoft Excel 工作表.xlsx - Excel
10:20:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:22:12:  Toolbox
10:22:17:  锁屏状态
10:22:22:  KE06LOG.bat - 快捷方式 (2)
10:22:37:  RTT_SeggerLog_202007271022.log - DRB.tat* - TextAnalysisTool.NET
10:22:42:  新建 Microsoft Excel 工作表.xlsx - Excel
10:23:02:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:23:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:23:47:  Toolbox
10:23:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:23:57:  KE06LOG.bat - 快捷方式 (2)
10:24:02:  RTT_SeggerLog_202007271022.log - DRB.tat* - TextAnalysisTool.NET
10:24:17:  新建 Microsoft Excel 工作表.xlsx - Excel
10:24:27:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:24:42:  锁屏状态
10:24:47:  新建 Microsoft Excel 工作表.xlsx - Excel
10:24:52:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:24:57:  新建 Microsoft Excel 工作表.xlsx - Excel
10:25:17:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:25:22:  KE06LOG.bat - 快捷方式 (2)
10:25:37:  RTT_SeggerLog_202007271025.log - DRB.tat* - TextAnalysisTool.NET
10:25:42:  文本分列向导 - 第 1 步，共 3 步
10:25:47:  新建 Microsoft Excel 工作表.xlsx - Excel
10:25:52:  RTT_SeggerLog_202007271025.log - DRB.tat* - TextAnalysisTool.NET
10:25:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:28:02:  Toolbox
10:28:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:29:12:  μVision
10:29:17:  Toolbox
10:29:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:30:02:  KE06LOG.bat - 快捷方式 (2)
10:28:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:29:12:  μVision
10:29:17:  Toolbox
