09:52:45:  D:\00-KE64\press2\Applications\FunctionApp\FunctionApp.h (press2) - Sublime Text (UNREGISTERED)
09:52:50:  TCR调测工具 V3.36
09:53:15:  钞箱配置
09:53:30:  TCR调测工具 V3.36
09:53:55:  打开
09:54:05:  TCR调测工具 V3.36
09:55:00:  打开
09:55:15:  TCR调测工具 V3.36
09:55:25:  20200618
09:55:30:  00-06
09:55:35:  DRB-PRESS
09:55:40:  Project
09:55:45:  TCR调测工具 V3.36
09:55:50:  桌面整理
09:56:00:  DRB传感器.txt - 记事本
09:56:15:  TCR调测工具 V3.36
09:56:20:  DRB传感器.txt - 记事本
09:56:25:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:56:30:  00-06
09:56:35:  
09:56:40:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:57:10:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:57:15:  打开
09:57:20:  TCR调测工具 V3.36
09:58:00:  Tools
09:58:05:  本地磁盘 (D:)
09:58:10:  Box_1__0000_20200618095007.log - DRB.tat* - TextAnalysisTool.NET
09:58:15:  K64_0000_20200618095007
09:58:25:  20200618
09:58:30:  TCR调测工具 V3.36
09:59:00:  桌面整理
09:59:05:  回收站
09:59:15:  20200618
09:59:20:  Decode
09:59:30:  K64_0000_20200618094313
09:59:35:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:59:40:  未命名 - 写邮件
09:59:45:  K64-_0000_20200618094313 - 写邮件
09:59:50:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:59:56:  K64-_0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:58:05:  本地磁盘 (D:)
09:58:10:  Box_1__0000_20200618095007.log - DRB.tat* - TextAnalysisTool.NET
09:58:15:  K64_0000_20200618095007
09:58:25:  20200618
09:58:30:  TCR调测工具 V3.36
09:59:00:  桌面整理
09:59:05:  回收站
09:59:15:  20200618
09:59:20:  Decode
09:59:30:  K64_0000_20200618094313
09:59:35:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:59:40:  未命名 - 写邮件
09:59:45:  K64-_0000_20200618094313 - 写邮件
09:59:50:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:59:56:  K64-_0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
