08:09:49:  各位看看各自的考核比是否需要调整，如有问题请今天上午反馈
09:26:39:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:27:24:  TCR调测工具（研发版）V1.0.0.4
09:27:34:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:27:59:  Decode
09:28:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:28:14:  TCR调测工具（研发版）V1.0.0.4
09:28:25:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:28:45:  Decode
09:28:50:  K18_0000_20200915092811.log - [No filter file] - TextAnalysisTool.NET
09:29:10:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:28:14:  TCR调测工具（研发版）V1.0.0.4
09:28:25:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:28:45:  Decode
09:28:50:  K18_0000_20200915092811.log - [No filter file] - TextAnalysisTool.NET
09:29:10:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:30:15:  TCR调测工具（研发版）V1.0.0.4
09:30:30:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:30:35:  20200915
09:30:40:  K18_0000_20200915093011.log - [No filter file] - TextAnalysisTool.NET
09:31:05:  K64_0000_20200915093011.log - [No filter file] - TextAnalysisTool.NET
09:31:30:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:34:15:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
09:34:20:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:34:25:  TCR调测工具（研发版）V1.0.0.4
09:34:45:  Decode
09:34:50:  K18_0000_20200915093423.log - [No filter file] - TextAnalysisTool.NET
09:35:05:  Decode
09:35:10:  K64_0000_20200915093423.log - [No filter file] - TextAnalysisTool.NET
09:35:25:  V1.009
09:35:30:  TCR调测工具（研发版）V1.0.0.4
09:35:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:35:55:  K64_0000_20200915093423.log - [No filter file] - TextAnalysisTool.NET
09:36:30:  Decode
09:36:35:  K18_0000_20200915093423.log - [No filter file] - TextAnalysisTool.NET
09:36:45:  Add Filter
09:36:50:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:36:55:  D:\CRS\KE18-ESS\Applications\Init\Init.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:37:05:  D:\CRS\KE18-ESS\Rtos\RTT\examples\kernel\cpuusage.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:37:25:  K18_0000_20200915093423.log - [No filter file] - TextAnalysisTool.NET
09:37:50:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:38:25:  TCR调测工具（研发版）V1.0.0.4
09:38:35:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:39:30:  TCR调测工具（研发版）V1.0.0.4
09:39:45:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:39:50:  TCR调测工具（研发版）V1.0.0.4
09:39:55:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:40:00:  TCR调测工具（研发版）V1.0.0.4
09:40:05:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:40:10:  TCR调测工具（研发版）V1.0.0.4
09:40:15:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:40:20:  TCR调测工具（研发版）V1.0.0.4
09:40:35:  打开
09:40:40:  TCR调测工具（研发版）V1.0.0.4
09:41:00:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:41:15:  打开
09:41:20:  TCR调测工具（研发版）V1.0.0.4
09:41:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:43:05:  TCR调测工具（研发版）V1.0.0.4
09:43:10:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:43:30:  TCR调测工具（研发版）V1.0.0.4
09:43:35:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:43:55:  TCR调测工具（研发版）V1.0.0.4
09:44:05:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:44:05:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:45:05:  电气工具柜笔记本不可借
09:45:10:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:45:25:  TCR调测工具（研发版）V1.0.0.4
09:45:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:46:55:  TCR调测工具（研发版）V1.0.0.4
09:47:30:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:47:35:  TCR调测工具（研发版）V1.0.0.4
09:47:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:49:30:  TCR调测工具（研发版）V1.0.0.4
09:49:45:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:50:30:  TCR调测工具（研发版）V1.0.0.4
09:50:50:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:51:45:  TCR调测工具（研发版）V1.0.0.4
09:52:05:  20200915
09:52:10:  K18_0000_20200915095040.log - [No filter file] - TextAnalysisTool.NET
09:52:25:  TCR调测工具（研发版）V1.0.0.4
09:52:35:  Decode
09:52:40:  K18_0000_20200915095040.log - [No filter file] - TextAnalysisTool.NET
09:52:45:  Add Filter
09:52:50:  D:\CRS\KE18-ESS\Rtos\RTT\examples\kernel\cpuusage.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:52:55:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:53:10:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:53:35:  TCR调测工具（研发版）V1.0.0.4
09:53:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:53:50:  TCR调测工具（研发版）V1.0.0.4
09:53:55:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:55:30:  荆文波
09:55:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:57:00:  TCR调测工具（研发版）V1.0.0.4
09:57:15:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:57:25:  TCR调测工具（研发版）V1.0.0.4
09:57:30:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:57:35:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:57:40:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:05:  D:\CRS\KE18-ESS\Applications\Update\Update.h (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:10:  D:\CRS\KE18-ESS\Applications\Update\Update.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:20:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:59:15:  TCR调测工具（研发版）V1.0.0.4
09:59:50:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:05:  D:\CRS\KE18-ESS\Applications\Update\Update.h (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:10:  D:\CRS\KE18-ESS\Applications\Update\Update.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:20:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:58:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:59:15:  TCR调测工具（研发版）V1.0.0.4
09:59:50:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:00:25:  D:\CRS\KE18-ESS\Rtos\RTT\src\thread.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:00:30:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:01:05:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:01:35:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:02:15:  D:\CRS\KE18-ESS\FwLib\RingBuffer\RingBufferModule.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:02:25:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:02:30:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c • (KE18-ESS) - Sublime Text (UNREGISTERED)
10:02:40:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:02:50:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:03:35:  TCR调测工具（研发版）V1.0.0.4
10:03:55:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:04:15:  20200915
10:04:20:  Add Filter
10:04:25:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:04:30:  K18_0000_20200915095711.log - [No filter file] - TextAnalysisTool.NET
10:04:40:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:05:05:  Tools
10:05:10:  KE18-ESS
10:05:15:  InstrExp.c - TortoiseMerge
10:06:35:  D:\CRS\KE18-ESS - 工作副本 - TortoiseSVN
10:06:40:  Init.c - TortoiseMerge
10:06:45:  D:\CRS\KE18-ESS - 工作副本 - TortoiseSVN
10:06:50:  SystemConfig.h - TortoiseMerge
10:07:00:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:07:30:  TCR调测工具（研发版）V1.0.0.4
