07:56:45:  刘茂林
10:02:16:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:07:07:  Decode
10:07:12:  D:\00-06\DRB\Tools\CreateJK.exe
10:07:17:  打开
10:07:47:  BTCRTestTool
10:07:52:  TCR调测工具 V3.36
10:09:37:  BTCRTestTool 属性
10:09:42:  20210303
10:10:17:  Decode
10:10:22:  Box_4__0000_20210303100926.log - DRB.tat* - TextAnalysisTool.NET
10:11:02:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:11:47:  Decode
10:11:57:  00-06
10:12:02:  Tools
10:12:12:  TCR调测工具 V3.36
10:15:12:  跳转列表
10:15:17:  20210303
10:15:47:  Decode
10:15:52:  Box_4__0000_20210303100926.log - DRB.tat* - TextAnalysisTool.NET
10:15:57:  Box_4__0000_20210303101500.log - DRB.tat* - TextAnalysisTool.NET
10:16:27:  K64_0000_20210303101500
10:16:32:  K64-_0000_20210303101500.log - DRB.tat* - TextAnalysisTool.NET
10:16:47:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
10:16:52:  K64-_0000_20210303101500.log - DRB.tat* - TextAnalysisTool.NET
10:23:47:  Box_4__0000_20210303101500.log - DRB.tat* - TextAnalysisTool.NET
10:25:57:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:26:07:  D:\00-06\DRB\Drivers\SpiFlashDriver\SpiFlashDriver.c (DRB) - Sublime Text (UNREGISTERED)
10:26:32:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:27:02:  Box_4__0000_20210303101500.log - DRB.tat* - TextAnalysisTool.NET
10:27:32:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:07:  D:\00-KE64\10\Applications\InstrExp\InstrSUBProcess.c (10) - Sublime Text (UNREGISTERED)
10:28:52:  TCR调测工具 V3.36
10:29:22:  钞箱配置
10:29:27:  TCR调测工具 V3.36
10:28:07:  D:\00-KE64\10\Applications\InstrExp\InstrSUBProcess.c (10) - Sublime Text (UNREGISTERED)
10:28:52:  TCR调测工具 V3.36
10:29:22:  钞箱配置
10:29:27:  TCR调测工具 V3.36
10:30:07:  取款
10:30:12:  TCR调测工具 V3.36
10:30:27:  20210303
10:30:52:  D:\00-06\DRB\Drivers\SpiFlashDriver\SpiFlashDriver.c (DRB) - Sublime Text (UNREGISTERED)
10:31:02:  D:\00-06\DRB\Drivers\PeripheralDriver\SpiDriver\SnbcSpiDriver.h (DRB) - Sublime Text (UNREGISTERED)
10:31:12:  20210303
10:31:17:  Decode
10:31:22:  Box_4__0000_20210303103008.log - DRB.tat* - TextAnalysisTool.NET
10:32:27:  TCR调测工具 V3.36
10:33:12:  取款
10:33:17:  TCR调测工具 V3.36
10:35:27:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:35:57:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:36:22:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:36:27:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:36:37:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:36:42:  锁屏状态
10:36:47:  D:\00-06\DRB\Applications\State\State.c (DRB) - Sublime Text (UNREGISTERED)
10:37:17:  TCR调测工具 V3.36
10:37:22:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:37:27:  D:\00-06\DRB\Applications\State\State.c (DRB) - Sublime Text (UNREGISTERED)
10:37:32:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:40:37:  Box_4__0000_20210303103008.log - DRB.tat* - TextAnalysisTool.NET
10:41:02:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:41:12:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:42:07:  fenxi
10:42:12:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:42:22:  Edit Filter
10:42:27:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:42:37:  Edit Filter
